[quick] runs_dir = /root/runs/quick_phase1
[quick] image-size = 256
[quick] frames-per-video train/eval = 30/10
[quick] enumerating videos for the disjoint split ...
[quick] split: train=1400 val=300 test=300 (of 2000 total videos)
[quick] dataset sizes: train=124227 val=8160 test=8540
[quick] extracting features (val) ...
  [3225/8160] 8.70 images/s, ETA 567s
  [3250/8160] 8.69 images/s, ETA 565s
  [3275/8160] 8.67 images/s, ETA 563s
  [3300/8160] 8.70 images/s, ETA 559s
  [3325/8160] 8.69 images/s, ETA 556s
  [3350/8160] 8.71 images/s, ETA 552s
  [3375/8160] 8.73 images/s, ETA 548s
  [3400/8160] 8.70 images/s, ETA 547s
  [3425/8160] 8.69 images/s, ETA 545s
  [3450/8160] 8.69 images/s, ETA 542s
  [3475/8160] 8.69 images/s, ETA 539s
  [3500/8160] 8.67 images/s, ETA 537s
  [3525/8160] 8.66 images/s, ETA 535s
  [3550/8160] 8.68 images/s, ETA 531s
  [3575/8160] 8.69 images/s, ETA 528s
  [3600/8160] 8.68 images/s, ETA 525s
  [3625/8160] 8.68 images/s, ETA 522s
  [3650/8160] 8.71 images/s, ETA 518s
  [3675/8160] 8.69 images/s, ETA 516s
  [3700/8160] 8.70 images/s, ETA 513s
  [3725/8160] 8.69 images/s, ETA 510s
  [3750/8160] 8.70 images/s, ETA 507s
  [3775/8160] 8.71 images/s, ETA 503s
  [3800/8160] 8.72 images/s, ETA 500s
  [3825/8160] 8.72 images/s, ETA 497s
  [3850/8160] 8.73 images/s, ETA 494s
  [3875/8160] 8.73 images/s, ETA 491s
  [3900/8160] 8.74 images/s, ETA 488s
  [3925/8160] 8.75 images/s, ETA 484s
  [3950/8160] 8.75 images/s, ETA 481s
  [3975/8160] 8.73 images/s, ETA 479s
  [4000/8160] 8.73 images/s, ETA 476s
  [4025/8160] 8.73 images/s, ETA 474s
  [4050/8160] 8.74 images/s, ETA 470s
  [4075/8160] 8.75 images/s, ETA 467s
  [4100/8160] 8.73 images/s, ETA 465s
  [4125/8160] 8.74 images/s, ETA 461s
  [4150/8160] 8.77 images/s, ETA 457s
  [4175/8160] 8.79 images/s, ETA 453s
  [4200/8160] 8.80 images/s, ETA 450s
  [4225/8160] 8.81 images/s, ETA 447s
  [4250/8160] 8.82 images/s, ETA 443s
  [4275/8160] 8.82 images/s, ETA 441s
  [4300/8160] 8.82 images/s, ETA 437s
  [4325/8160] 8.82 images/s, ETA 435s
  [4350/8160] 8.83 images/s, ETA 431s
  [4375/8160] 8.86 images/s, ETA 427s
  [4400/8160] 8.85 images/s, ETA 425s
  [4425/8160] 8.83 images/s, ETA 423s
  [4450/8160] 8.84 images/s, ETA 420s
  [4475/8160] 8.85 images/s, ETA 416s
  [4500/8160] 8.84 images/s, ETA 414s
  [4525/8160] 8.82 images/s, ETA 412s
  [4550/8160] 8.83 images/s, ETA 409s
  [4575/8160] 8.84 images/s, ETA 405s
  [4600/8160] 8.85 images/s, ETA 402s
  [4625/8160] 8.84 images/s, ETA 400s
  [4650/8160] 8.84 images/s, ETA 397s
  [4675/8160] 8.85 images/s, ETA 394s
  [4700/8160] 8.86 images/s, ETA 391s
  [4725/8160] 8.86 images/s, ETA 387s
  [4750/8160] 8.88 images/s, ETA 384s
  [4775/8160] 8.88 images/s, ETA 381s
  [4800/8160] 8.86 images/s, ETA 379s
  [4825/8160] 8.88 images/s, ETA 375s
  [4850/8160] 8.91 images/s, ETA 372s
  [4875/8160] 8.90 images/s, ETA 369s
  [4900/8160] 8.90 images/s, ETA 366s
  [4925/8160] 8.89 images/s, ETA 364s
  [4950/8160] 8.89 images/s, ETA 361s
  [4975/8160] 8.91 images/s, ETA 358s
  [5000/8160] 8.91 images/s, ETA 354s
  [5025/8160] 8.90 images/s, ETA 352s
  [5050/8160] 8.88 images/s, ETA 350s
  [5075/8160] 8.88 images/s, ETA 347s
  [5100/8160] 8.88 images/s, ETA 345s
  [5125/8160] 8.87 images/s, ETA 342s
  [5150/8160] 8.85 images/s, ETA 340s
  [5175/8160] 8.85 images/s, ETA 337s
  [5200/8160] 8.87 images/s, ETA 334s
  [5225/8160] 8.86 images/s, ETA 331s
  [5250/8160] 8.83 images/s, ETA 330s
  [5275/8160] 8.85 images/s, ETA 326s
  [5300/8160] 8.86 images/s, ETA 323s
  [5325/8160] 8.85 images/s, ETA 321s
  [5350/8160] 8.85 images/s, ETA 318s
  [5375/8160] 8.84 images/s, ETA 315s
  [5400/8160] 8.86 images/s, ETA 312s
  [5425/8160] 8.86 images/s, ETA 309s
  [5450/8160] 8.85 images/s, ETA 306s
  [5475/8160] 8.86 images/s, ETA 303s
  [5500/8160] 8.87 images/s, ETA 300s
  [5525/8160] 8.86 images/s, ETA 298s
  [5550/8160] 8.87 images/s, ETA 294s
  [5575/8160] 8.87 images/s, ETA 291s
  [5600/8160] 8.86 images/s, ETA 289s
  [5625/8160] 8.85 images/s, ETA 287s
  [5650/8160] 8.84 images/s, ETA 284s
  [5675/8160] 8.85 images/s, ETA 281s
  [5700/8160] 8.86 images/s, ETA 278s
  [5725/8160] 8.86 images/s, ETA 275s
  [5750/8160] 8.84 images/s, ETA 273s
  [5775/8160] 8.86 images/s, ETA 269s
  [5800/8160] 8.87 images/s, ETA 266s
  [5825/8160] 8.88 images/s, ETA 263s
  [5850/8160] 8.90 images/s, ETA 260s
  [5875/8160] 8.89 images/s, ETA 257s
  [5900/8160] 8.91 images/s, ETA 254s
  [5925/8160] 8.90 images/s, ETA 251s
  [5950/8160] 8.90 images/s, ETA 248s
  [5975/8160] 8.90 images/s, ETA 246s
  [6000/8160] 8.92 images/s, ETA 242s
  [6025/8160] 8.92 images/s, ETA 239s
  [6050/8160] 8.92 images/s, ETA 237s
  [6075/8160] 8.90 images/s, ETA 234s
  [6100/8160] 8.89 images/s, ETA 232s
  [6125/8160] 8.89 images/s, ETA 229s
  [6150/8160] 8.88 images/s, ETA 226s
